おれんじ,せをはやみー,いわにせかるるたきがわの,われてもすえに　あわんとぞおもうー,われてもすゑにあはむとぞおもふ,せをー
おれんじ,なげきつつー,ひとりぬるよのあくるまわ,いかにひさしき　ものとかわしるー,いかにひさしきものとかはしる,なげー
おれんじ,なにしおわばー,おうさかやまのさねかずら,ひとにしられで　くるよしもがなー,ひとにしられでくるよしもがな,なにしー
おれんじ,なにわえのー,あしのかりねのひとよゆえ,みをつくしてや　こいわたるべきー,みをつくしてやこひわたるべき,なにわえー
おれんじ,なにわがたー,みじかきあしのふしのまも,あわでこのよを　すぐしてよとやー,あはでこのよをすぐしてよとや,なにわがー
おれんじ,はるのよのー,ゆめばかりなるたまくらに,かいなくたたん　なこそおしけれー,かひなくたたむなこそをしけれ,はるー
おれんじ,ひともおしー,ひともうらめしあじきなく,よをおもうゆえに　ものおもうみわー,よをおもふゆゑにものおもふみは,ひとー
おれんじ,みかきもりー,えじのたくひのよるわもえ,ひるわきえつつ　ものをこそおもえー,ひるはきえつつものをこそおもへ,みかきー
おれんじ,みかのはらー,わきてながるるいずみがわ,いつみきとてか　こいしかるらんー,いつみきとてかこひしかるらむ,みかのー
おれんじ,みせばやなー,おじまのあまのそでだにも,ぬれにぞぬれし　いろわかわらずー,ぬれにぞぬれしいろはかはらず,みせー
おれんじ,おおけなくー,うきよのたみにおおうかな,わがたつそまに　すみぞめのそでー,わがたつそまにすみぞめのそで,おおー
おれんじ,かぜそよぐー,ならのおぐらのゆうぐれわ,みそぎぞなつの　しるしなりけるー,みそぎぞなつのしるしなりける,かぜー
